repA1,tarB1,Report about suspicious activity
repA2,tarB2,Observed unusual behavior
repA3,tarB3,Reported theft incident
repA4,tarB4,Suspicious meeting seen
repA5,tarB5,Possible threat detected
repA6,tarB6,Unusual phone calls
repA7,tarB7,Person acting nervously
repA8,tarB8,Reported vandalism
repA9,tarB9,Strange packages delivered
repA10,tarB10,Suspected smuggling activity
repA11,tarB11,Unusual vehicle movement
repA12,tarB12,Person seen loitering
repA13,tarB13,Reported unauthorized entry
repA14,tarB14,Suspicious transaction
repA15,tarB15,Possible identity theft
repA16,tarB16,Person with fake ID
repA17,tarB17,Reports of threats
repA18,tarB18,Unusual social media activity
repA19,tarB19,Reported cyber attack
repA20,tarB20,Suspicious package found
